ticket,symbol,timeframe,direction,entry_price,sl,tp,lot,source,atr,entry_time,exit_time,exit_price,result,pnl,pips
2797492222,XAUUSD,,BUY,4636.056,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:46,,,OPEN,,
2797492243,XAUUSD,,BUY,4635.957,4619.51602,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 02:52:46,,,OPEN,,
2797670177,XAUUSD,,BUY,4657.585,4646.37397,4671.38504,0.01,TraderAI-Bot,0.0,2026-03-20 03:40:32,,,OPEN,,
2797670179,XAUUSD,,BUY,4657.585,4646.37397,4671.38504,0.01,TraderAI-Bot,0.0,2026-03-20 03:40:32,,,OPEN,,
2797670184,XAUUSD,,BUY,4657.585,4646.37397,4671.38504,0.01,TraderAI-Bot,0.0,2026-03-20 03:40:32,,,OPEN,,
2797670187,XAUUSD,,BUY,4657.585,4646.37397,4671.38504,0.01,TraderAI-Bot,0.0,2026-03-20 03:40:32,,,OPEN,,
2797858892,XAUUSD,,SELL,4664.178,4675.78924,4631.915,0.01,TraderAI-Bot,0.0,2026-03-20 05:30:49,,,OPEN,,
2797858901,XAUUSD,,SELL,4664.178,4675.78924,4631.915,0.01,TraderAI-Bot,0.0,2026-03-20 05:30:49,,,OPEN,,
2797858907,XAUUSD,,SELL,4664.178,4675.78924,4631.915,0.01,TraderAI-Bot,0.0,2026-03-20 05:30:49,,,OPEN,,
2797858911,XAUUSD,,SELL,4664.178,4675.78924,4631.915,0.01,TraderAI-Bot,0.0,2026-03-20 05:30:49,,,OPEN,,
2797858927,XAUUSD,,SELL,4664.178,4675.78924,4631.915,0.01,TraderAI-Bot,0.0,2026-03-20 05:30:49,,,OPEN,,
2797858984,XAUUSD,,SELL,4663.929,4675.78924,4631.915,0.01,TraderAI-Bot,0.0,2026-03-20 05:30:49,,,OPEN,,
2797941162,XAUUSD,,BUY,4644.898,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:44,,,OPEN,,
2797941190,XAUUSD,,BUY,4644.866,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:44,,,OPEN,,
2797941207,XAUUSD,,BUY,4644.866,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:44,,,OPEN,,
2797941220,XAUUSD,,BUY,4644.866,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:44,,,OPEN,,
2797941240,XAUUSD,,BUY,4644.866,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:44,,,OPEN,,
2797941267,XAUUSD,,BUY,4645.169,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:44,,,OPEN,,
2797941303,XAUUSD,,BUY,4645.169,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:45,,,OPEN,,
2797941353,XAUUSD,,BUY,4646.03,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:45,,,OPEN,,
2797941367,XAUUSD,,BUY,4646.03,4634.14425,4663.389,0.01,TraderAI-Bot,0.0,2026-03-20 05:50:45,,,OPEN,,
2798227520,XAUUSD,,BUY,4663.304,4652.50966,4677.032,0.01,TraderAI-Bot,0.0,2026-03-20 07:17:29,,,OPEN,,
2798227526,XAUUSD,,BUY,4663.304,4652.50966,4677.032,0.01,TraderAI-Bot,0.0,2026-03-20 07:17:29,,,OPEN,,
2798227537,XAUUSD,,BUY,4663.304,4652.50966,4677.032,0.01,TraderAI-Bot,0.0,2026-03-20 07:17:29,,,OPEN,,
