<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.17	04:30:00	4083.214	4085.247	4081.136	4083.368	2095	0	160
2025.11.17	04:45:00	4083.280	4083.739	4076.835	4078.618	2735	0	160
2025.11.17	05:00:00	4078.643	4078.757	4072.021	4072.475	3432	0	160
2025.11.17	05:15:00	4072.508	4072.889	4058.544	4064.279	6204	0	160
2025.11.17	05:30:00	4064.395	4064.900	4049.643	4057.476	8826	0	160
2025.11.17	05:45:00	4057.466	4060.402	4053.193	4058.283	4982	0	160
2025.11.17	06:00:00	4058.218	4066.523	4054.582	4058.603	6354	0	160
2025.11.17	06:15:00	4058.560	4064.784	4056.200	4062.856	3887	0	160
2025.11.17	06:30:00	4062.903	4071.878	4062.493	4066.732	4861	0	160
2025.11.17	06:45:00	4066.770	4069.926	4064.893	4066.014	3881	0	160
2025.11.17	07:00:00	4066.024	4073.576	4065.135	4072.723	3743	0	160
2025.11.17	07:15:00	4072.717	4079.609	4072.207	4078.773	3817	0	160
2025.11.17	07:30:00	4078.726	4083.332	4077.095	4083.300	2787	0	160
2025.11.17	07:45:00	4083.248	4089.243	4083.204	4088.159	3059	0	160
2025.11.17	08:00:00	4088.130	4095.987	4086.843	4090.161	4723	0	160
2025.11.17	08:15:00	4090.202	4090.811	4079.042	4081.106	4994	0	160
2025.11.17	08:30:00	4081.095	4083.963	4075.801	4077.621	4975	0	160
2025.11.17	08:45:00	4077.599	4079.642	4072.079	4077.380	4850	0	160
2025.11.17	09:00:00	4077.412	4082.423	4072.220	4082.137	4555	0	160
2025.11.17	09:15:00	4082.181	4085.254	4079.381	4083.582	3486	0	160
2025.11.17	09:30:00	4083.531	4088.844	4081.779	4086.366	4368	0	160
2025.11.17	09:45:00	4086.392	4086.765	4078.899	4082.251	3564	0	160
2025.11.17	10:00:00	4082.202	4089.430	4081.230	4087.152	4059	0	160
2025.11.17	10:15:00	4087.205	4089.517	4083.843	4084.490	3880	0	160
2025.11.17	10:30:00	4084.433	4086.508	4078.030	4079.274	4735	0	160
2025.11.17	10:45:00	4079.308	4081.166	4068.252	4070.206	4969	0	160
2025.11.17	11:00:00	4070.296	4073.714	4061.026	4068.266	5882	0	160
2025.11.17	11:15:00	4068.227	4072.495	4065.310	4065.587	3362	0	160
2025.11.17	11:30:00	4065.675	4082.870	4064.222	4080.255	5192	0	160
2025.11.17	11:45:00	4080.300	4086.054	4076.526	4078.456	4874	0	160
2025.11.17	12:00:00	4078.493	4080.347	4076.643	4078.374	3110	0	160
2025.11.17	12:15:00	4078.416	4080.459	4074.632	4078.356	3757	0	160
2025.11.17	12:30:00	4078.331	4085.287	4077.686	4082.728	3490	0	160
2025.11.17	12:45:00	4082.729	4083.420	4074.954	4077.149	3318	0	160
2025.11.17	13:00:00	4077.119	4092.248	4075.943	4083.275	6841	0	160
2025.11.17	13:15:00	4083.404	4087.244	4074.866	4076.515	5696	0	160
2025.11.17	13:30:00	4076.489	4079.555	4067.238	4069.259	6257	0	160
2025.11.17	13:45:00	4069.229	4071.283	4060.660	4065.412	7015	0	160
2025.11.17	14:00:00	4065.272	4074.499	4060.617	4073.531	6109	0	160
2025.11.17	14:15:00	4073.538	4074.529	4064.119	4066.458	4259	0	160
2025.11.17	14:30:00	4066.502	4082.055	4065.484	4074.106	11842	0	160
2025.11.17	14:45:00	4074.059	4080.323	4072.131	4076.213	9394	0	160
2025.11.17	15:00:00	4076.398	4077.742	4061.490	4068.830	9366	0	160
2025.11.17	15:15:00	4068.873	4076.038	4060.758	4072.587	8004	0	160
2025.11.17	15:30:00	4072.552	4077.504	4070.684	4073.642	6892	0	160
2025.11.17	15:45:00	4073.613	4073.910	4063.487	4064.373	6995	0	160
2025.11.17	16:00:00	4064.304	4065.450	4052.142	4061.482	8234	0	160
2025.11.17	16:15:00	4061.457	4068.924	4059.207	4068.924	6390	0	160
2025.11.17	16:30:00	4068.954	4073.700	4068.037	4068.846	5584	0	160
2025.11.17	16:45:00	4068.879	4071.095	4065.136	4069.907	4391	0	160
2025.11.17	17:00:00	4069.959	4075.734	4069.705	4074.055	4233	0	160
2025.11.17	17:15:00	4074.107	4080.660	4072.333	4077.440	4195	0	160
2025.11.17	17:30:00	4077.402	4081.082	4073.813	4075.512	4364	0	160
2025.11.17	17:45:00	4075.541	4075.869	4071.199	4073.391	4163	0	160
2025.11.17	18:00:00	4073.423	4076.301	4071.096	4072.697	4637	0	160
2025.11.17	18:15:00	4072.659	4075.479	4067.696	4073.022	4497	0	160
2025.11.17	18:30:00	4072.978	4072.978	4067.416	4068.783	4112	0	160
2025.11.17	18:45:00	4068.713	4071.590	4062.220	4062.617	3843	0	160
2025.11.17	19:00:00	4062.592	4064.224	4056.332	4060.590	6074	0	160
2025.11.17	19:15:00	4060.628	4065.055	4053.484	4056.550	4339	0	160
2025.11.17	19:30:00	4056.565	4058.461	4016.223	4019.451	17869	0	160
2025.11.17	19:45:00	4019.388	4025.878	4010.749	4011.229	13585	0	160
2025.11.17	20:00:00	4011.258	4022.858	4006.827	4016.388	11224	0	160
2025.11.17	20:15:00	4016.451	4027.944	4015.503	4027.015	7733	0	160
2025.11.17	20:30:00	4027.057	4031.672	4025.336	4029.958	6160	0	160
2025.11.17	20:45:00	4029.997	4043.973	4029.356	4041.064	6621	0	160
2025.11.17	21:00:00	4040.977	4045.650	4038.771	4044.399	2926	0	160
2025.11.17	21:15:00	4044.446	4045.944	4042.665	4043.378	1807	0	160
2025.11.17	21:30:00	4043.417	4044.913	4042.672	4043.517	1271	0	160
2025.11.17	21:45:00	4043.555	4046.281	4042.683	4045.789	1355	0	160
2025.11.17	23:00:00	4049.919	4055.565	4046.321	4050.208	4140	0	160
2025.11.17	23:15:00	4050.183	4052.519	4047.538	4048.068	2509	0	160
2025.11.17	23:30:00	4048.038	4049.631	4034.404	4037.265	5469	0	160
2025.11.17	23:45:00	4037.287	4042.743	4028.586	4036.825	7815	0	160
2025.11.18	00:00:00	4036.862	4040.349	4030.339	4036.282	5980	0	160
2025.11.18	00:15:00	4036.418	4036.945	4027.346	4030.799	6740	0	160
2025.11.18	00:30:00	4030.764	4039.258	4028.687	4037.086	4037	0	160
2025.11.18	00:45:00	4037.033	4041.194	4032.067	4040.127	4634	0	160
2025.11.18	01:00:00	4040.152	4045.052	4034.942	4040.939	8876	0	160
2025.11.18	01:15:00	4040.848	4044.939	4036.951	4040.336	4793	0	160
